publisher,grade,unit,word,part_of_speech,translation,sentence_example
南一,七上,lesson 2,wonderful,adj.,絕妙的，極好的,Tony is a wonderful doctor.
南一,七上,lesson 2,place,n.,地方,The park is a good place for running.
南一,七上,lesson 2,theme park,n.,主題樂園,We are very happy at the theme park.
南一,七上,lesson 2,founder,n.,創辦者,My grandfather is the founder of this school.
南一,七上,lesson 2,cartoon,n.,卡通,This is my favorite cartoon.
南一,七上,lesson 2,father,n.,創始者,Walt Disney is the father of many cartoon stars.
南一,七上,lesson 2,have a great time,phr.,玩得開心,Come and have a great time.
南一,七上,lesson 2,It’s a piece of cake.,Idiom,非常簡單。,
南一,七上,lesson 3,please,int.,請,Please stand up.
南一,七上,lesson 3,put,v.,放,"Put your shoes here, please."
南一,七上,lesson 3,dish,n.,菜餚,This is my mother’s best dish. It’s really delicious!
南一,七上,lesson 3,let’s ...,phr.,讓我們⋯⋯,Let’s play basketball.
南一,七上,lesson 3,try,v.,嘗試,Let’s try this new dish!
南一,七上,lesson 3,beef noodles,n.,牛肉麵,Beef noodles are Dave’s favorite.
南一,七上,lesson 3,use,v.,使用,Let’s use a pen and draw a picture.
南一,七上,lesson 3,chopsticks,n.,筷子,Let’s use chopsticks to eat the beef noodles.
南一,七上,lesson 3,delicious,adj.,美味的,This cake is delicious!
南一,七上,lesson 3,guys,n.,大家,"Guys, welcome to the zoo!"
南一,七上,lesson 3,just,adv.,就，只是,Don’t use a pen. Just use a pencil.
南一,七上,lesson 3,hand,n.,手,Is that an apple in your hand?
南一,七上,lesson 3,bring,v.,帶,Can I bring some cake to my friend?
南一,七上,lesson 3,talk,v.,說話,Don’t talk in class.
南一,七上,lesson 3,party,n.,派對,Let’s go to Sam’s party!
南一,七上,lesson 3,invite,v.,邀請,"Let’s invite Jack to the party, too."
南一,七上,lesson 3,join,v.,參加,"Peter, do you want to join our basketball game?"
南一,七上,lesson 3,glass,n.,玻璃杯,This beautiful glass is my father’s favorite.
南一,七上,lesson 3,bowl,n.,碗,"A bowl of beef noodles, please."
南一,七上,lesson 3,spoon,n.,湯匙,The baby can’t use a spoon.
南一,七上,lesson 3,menu,n.,菜單,All the dishes on the menu are delicious.
南一,七上,lesson 3,fork,n.,叉子,Please put your fork on the table.
南一,七上,lesson 3,plate,n.,盤子,The plate is dirty. Don't use it.
南一,七上,lesson 3,knife（複數為 knives）,n.,刀子,Let’s use the knife to cut the cake.
南一,七上,lesson 3,e-mail（= email）,n.,電子郵件,"The e-mail is from my friend, Linda."
南一,七上,lesson 3,everyone,pron.,每個人,Everyone in the park is happy.
南一,七上,lesson 3,house,n.,房子,Amy’s house is big and clean.
南一,七上,lesson 3,wear,v.,穿,Do not wear a T-shirt at school.
南一,七上,lesson 3,something,pron.,某樣東西,Don’t just stand there. Do something.
南一,七上,lesson 3,country,n.,國家,My country is a beautiful place.
南一,七上,lesson 3,any,adj.,任何的,Don’t draw any pictures on the desk.
南一,七上,lesson 3,fun,n.,樂趣,Let’s have fun!
南一,七上,lesson 3,Halloween,n.,萬聖節前夕,Halloween is next week. Let’s have a party!
南一,七上,lesson 3,around the corner,phr.,即將到來,Dad’s birthday is just around the corner.
南一,七上,lesson 3,plan,v.,計畫,Let’s plan a potluck party for my friends.
南一,七上,lesson 3,Just give it a shot!,Idiom,試試看吧！,
南一,七上,lesson 4,animal,n.,動物,"Beth likes to play with small animals, such as cats."
南一,七上,lesson 4,surprise,n.,驚喜,Wow! Jenny is the winner! It’s really a big surprise!
南一,七上,lesson 4,love,v.,愛,I love my family and friends.
南一,七上,lesson 4,gift,n.,禮物,This is a gift for my brother.
南一,七上,lesson 4,hunt,n.,尋找,"Guys, let’s have a gift hunt."
南一,七上,lesson 4,inside,prep.,在⋯⋯裡面,The teacher and her students are inside the classroom.
南一,七上,lesson 4,lunch,n.,午餐,Beef noodles and fruit are my lunch today.
南一,七上,lesson 4,again,adv.,再一次,Let’s play the game again.
南一,七上,lesson 4,pin,n.,別針,This pin is for my mom.
南一,七上,lesson 4,so,adv.,非常地,The house is so beautiful.
南一,七上,lesson 4,kind,adj.,體貼的,Ms. Li is a kind teacher. Her students all like her.
南一,七上,lesson 4,jacket,n.,夾克,I love this brown jacket.
南一,七上,lesson 4,bamboo,n.,竹子,Pandas eat  to  kg of bamboo every day.
南一,七上,lesson 4,Thanksgiving,n.,感恩節,Let’s have a party on Thanksgiving.
南一,七上,lesson 4,bathroom,n.,浴室,Where is the bathroom?
南一,七上,lesson 4,bedroom,n.,臥室,My bedroom isn’t big. It’s very small.
南一,七上,lesson 4,living room,n.,客廳,There are four chairs in the living room.
南一,七上,lesson 4,window,n.,窗戶,There are two windows in the kitchen.
南一,七上,lesson 4,sofa,n.,長沙發,There is a big and beautiful sofa in the living room.
南一,七上,lesson 4,dining room,n.,飯廳,Don’t run in the dining room.
南一,七上,lesson 4,kitchen,n.,廚房,Where is Mom? Is she in the kitchen?
南一,七上,lesson 4,swimming pool,n.,游泳池,There is a swimming pool in our school.
南一,七上,lesson 4,garden,n.,花園,There is a garden near the park.
南一,七上,lesson 4,behind,prep.,在⋯⋯後面,Don’t stand behind cars.
南一,七上,lesson 4,in front of,phr.,在⋯⋯前面,There is a park in front of the school.
南一,七上,lesson 4,between,prep.,在⋯⋯之間,The table is between two chairs.
南一,七上,lesson 4,garage,n.,車庫,There is a bike in front of the garage.
